feature_set,partition,offset,fold_group,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
principled_expression,1,0,0,723,180,logreg,0.6091428571428572,0.08336006683375105,,,0.1,0.04,0.03
principled_expression,1,0,0,723,180,rf,0.4588571428571429,0.04438339438339438,,,0.05,0.04,0.02
principled_expression,1,0,0,723,180,xgb,0.5794285714285714,0.04230849040942909,,,0.0,0.06,0.03
principled_expression,1,0,0,723,180,ensemble,0.5485714285714286,0.04914264923087139,,,0.05,0.04,0.02
principled_expression,1,0,1,723,180,logreg,0.7722843738722484,0.3860624270866446,,,0.4,0.24,0.15
principled_expression,1,0,1,723,180,rf,0.7190544929628293,0.39834370612193937,,,0.35,0.22,0.13
principled_expression,1,0,1,723,180,xgb,0.6596896427282569,0.36502052235041577,,,0.3,0.18,0.12
principled_expression,1,0,1,723,180,ensemble,0.7997112955611693,0.5093977007777637,,,0.4,0.22,0.15
principled_expression,1,0,2,723,180,logreg,0.8122157244964263,0.32272324800319824,,,0.15,0.14,0.08
principled_expression,1,0,2,723,180,rf,0.9093567251461988,0.4842755634422301,,,0.35,0.16,0.08
principled_expression,1,0,2,723,180,xgb,0.8693957115009746,0.25682249244679256,,,0.3,0.14,0.09
principled_expression,1,0,2,723,180,ensemble,0.8719948018193633,0.44698880007788055,,,0.3,0.14,0.08
principled_expression,1,0,3,723,180,logreg,0.7894375857338821,0.31865977281173186,,,0.4,0.26,0.16
principled_expression,1,0,3,723,180,rf,0.8854595336076818,0.6697442610247721,,,0.5,0.3,0.18
principled_expression,1,0,3,723,180,xgb,0.7921810699588477,0.5050288972565671,,,0.45,0.24,0.15
principled_expression,1,0,3,723,180,ensemble,0.828875171467764,0.5663153712506711,,,0.5,0.28,0.16
principled_expression,1,0,4,720,183,logreg,0.5969191270860077,0.22271317986592512,,,0.25,0.18,0.11
principled_expression,1,0,4,720,183,rf,0.7342747111681642,0.3528777918335708,,,0.4,0.28,0.14
principled_expression,1,0,4,720,183,xgb,0.7394094993581515,0.30137535199228194,,,0.35,0.2,0.15
principled_expression,1,0,4,720,183,ensemble,0.7086007702182285,0.3236779131108003,,,0.35,0.22,0.14
principled_expression,2,60,0,783,120,logreg,0.6788793103448276,0.11562881562881562,,,0.1,0.04,0.04
principled_expression,2,60,0,783,120,rf,0.5603448275862069,0.06040956592427181,,,0.05,0.04,0.04
principled_expression,2,60,0,783,120,xgb,0.5797413793103449,0.06125992063492064,,,0.05,0.06,0.03
principled_expression,2,60,0,783,120,ensemble,0.6336206896551724,0.08677845528455283,,,0.1,0.04,0.04
principled_expression,2,60,1,723,180,logreg,0.7286964532473515,0.29945188656391714,,,0.2,0.12,0.11
principled_expression,2,60,1,723,180,rf,0.77360663288807,0.4165459209407037,,,0.3,0.18,0.1
principled_expression,2,60,1,723,180,xgb,0.7038231229847995,0.23119532414297683,,,0.25,0.16,0.1
principled_expression,2,60,1,723,180,ensemble,0.7710732381391064,0.3585534845319507,,,0.3,0.16,0.12
principled_expression,2,60,2,723,180,logreg,0.7001381851681253,0.2366930681960511,,,0.2,0.16,0.11
principled_expression,2,60,2,723,180,rf,0.8217411331183786,0.38592119840612726,,,0.35,0.2,0.11
principled_expression,2,60,2,723,180,xgb,0.7918010133578995,0.4587525528333054,,,0.35,0.18,0.11
principled_expression,2,60,2,723,180,ensemble,0.7802855826807924,0.44944563168363755,,,0.4,0.18,0.11
principled_expression,2,60,3,723,180,logreg,0.8109756097560976,0.4190343535373569,,,0.4,0.2,0.15
principled_expression,2,60,3,723,180,rf,0.866234756097561,0.6066598136154588,,,0.4,0.26,0.15
principled_expression,2,60,3,723,180,xgb,0.8311737804878049,0.340858731740779,,,0.35,0.26,0.15
principled_expression,2,60,3,723,180,ensemble,0.8433689024390244,0.5343481335401852,,,0.4,0.22,0.15
principled_expression,2,60,4,660,243,logreg,0.6250514191690663,0.23623949497791108,,,0.25,0.2,0.12
principled_expression,2,60,4,660,243,rf,0.7408473879062115,0.27522742071659,,,0.3,0.28,0.16
principled_expression,2,60,4,660,243,xgb,0.7945290004113533,0.4220535958542924,,,0.45,0.26,0.17
principled_expression,2,60,4,660,243,ensemble,0.7523652817770465,0.38678655597553274,,,0.45,0.24,0.16
principled_expression,3,119,0,842,61,logreg,0.5229885057471264,0.07260646330413772,,,0.05,0.06,0.04918032786885246
principled_expression,3,119,0,842,61,rf,0.36494252873563215,0.049857549857549865,,,0.0,0.06,0.04918032786885246
principled_expression,3,119,0,842,61,xgb,0.5,0.07113636363636364,,,0.05,0.06,0.04918032786885246
principled_expression,3,119,0,842,61,ensemble,0.48275862068965514,0.06706076786168319,,,0.05,0.06,0.04918032786885246
principled_expression,3,119,1,723,180,logreg,0.8477676169983863,0.47797015176047436,,,0.3,0.18,0.1
principled_expression,3,119,1,723,180,rf,0.7436793975255513,0.3652917976617437,,,0.25,0.16,0.08
principled_expression,3,119,1,723,180,xgb,0.5922538999462077,0.12839551462633123,,,0.2,0.1,0.07
principled_expression,3,119,1,723,180,ensemble,0.8391608391608392,0.4496754503236702,,,0.3,0.16,0.1
principled_expression,3,119,2,723,180,logreg,0.6569200779727096,0.148823489184935,,,0.2,0.1,0.06
principled_expression,3,119,2,723,180,rf,0.7072774528914879,0.23579023098282814,,,0.25,0.1,0.07
principled_expression,3,119,2,723,180,xgb,0.6296296296296297,0.1962038107728402,,,0.15,0.1,0.07
principled_expression,3,119,2,723,180,ensemble,0.686159844054581,0.22321005495033902,,,0.15,0.12,0.07
principled_expression,3,119,3,723,180,logreg,0.706766917293233,0.30899513658601163,,,0.3,0.22,0.15
principled_expression,3,119,3,723,180,rf,0.9006211180124223,0.6845838239390705,,,0.6,0.34,0.18
principled_expression,3,119,3,723,180,xgb,0.7456685191238966,0.3960424957315081,,,0.35,0.26,0.15
principled_expression,3,119,3,723,180,ensemble,0.7963386727688787,0.48831687659323453,,,0.4,0.24,0.17
principled_expression,3,119,4,601,302,logreg,0.6548216276477146,0.21810801960545598,,,0.3,0.2,0.13
principled_expression,3,119,4,601,302,rf,0.8196767001114827,0.36136950342390906,,,0.45,0.3,0.19
principled_expression,3,119,4,601,302,xgb,0.8411371237458194,0.49332866792418034,,,0.5,0.32,0.2
principled_expression,3,119,4,601,302,ensemble,0.802536231884058,0.44307215300089886,,,0.55,0.32,0.18
principled_expression,4,179,0,902,1,logreg,,0.0,,,0.0,0.0,0.0
principled_expression,4,179,0,902,1,rf,,0.0,,,0.0,0.0,0.0
principled_expression,4,179,0,902,1,xgb,,0.0,,,0.0,0.0,0.0
principled_expression,4,179,0,902,1,ensemble,,0.0,,,0.0,0.0,0.0
principled_expression,4,179,1,723,180,logreg,0.608,0.0832881890260242,,,0.1,0.04,0.03
principled_expression,4,179,1,723,180,rf,0.5365714285714286,0.042795508274231675,,,0.05,0.04,0.02
principled_expression,4,179,1,723,180,xgb,0.6114285714285714,0.051429815929030384,,,0.0,0.06,0.03
principled_expression,4,179,1,723,180,ensemble,0.5680000000000001,0.05516668334567089,,,0.1,0.04,0.02
principled_expression,4,179,2,723,180,logreg,0.7719234933237099,0.3859696064532366,,,0.4,0.24,0.15
principled_expression,4,179,2,723,180,rf,0.7358354384698664,0.3950882179849994,,,0.4,0.22,0.14
principled_expression,4,179,2,723,180,xgb,0.6300974377481053,0.3692584228738654,,,0.3,0.16,0.11
principled_expression,4,179,2,723,180,ensemble,0.7939372067845544,0.5262448057745153,,,0.4,0.24,0.15
principled_expression,4,179,3,723,180,logreg,0.8122157244964262,0.3148732751999544,,,0.15,0.14,0.08
principled_expression,4,179,3,723,180,rf,0.928200129954516,0.4537304981749426,,,0.35,0.16,0.09
principled_expression,4,179,3,723,180,xgb,0.889538661468486,0.4130321122579775,,,0.3,0.16,0.08
principled_expression,4,179,3,723,180,ensemble,0.8992852501624431,0.5347995334720999,,,0.35,0.16,0.08
principled_expression,4,179,4,541,362,logreg,0.6636174636174635,0.19431021111376529,,,0.2,0.26,0.2
principled_expression,4,179,4,541,362,rf,0.8473180873180873,0.5386490930574337,,,0.8,0.44,0.27
principled_expression,4,179,4,541,362,xgb,0.7959251559251559,0.42297925433016853,,,0.6,0.4,0.28
