feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
baseline_full,0.7,1,632,271,logreg,0.7938247011952191,0.35847389246350686,,,0.35,0.24,0.15
baseline_full,0.7,1,632,271,rf,0.8356573705179283,0.5522254544815594,,,0.55,0.24,0.15
baseline_full,0.7,1,632,271,xgb,0.7625498007968128,0.5915293261787012,,,0.5,0.26,0.14
baseline_full,0.7,1,632,271,ensemble,0.8440239043824701,0.6119340085771189,,,0.55,0.28,0.16
baseline_full,0.7,2,632,271,logreg,0.7607569721115537,0.33071782245066145,,,0.45,0.2,0.14
baseline_full,0.7,2,632,271,rf,0.7911354581673307,0.540159814870147,,,0.5,0.24,0.15
baseline_full,0.7,2,632,271,xgb,0.7237051792828685,0.5326908330932701,,,0.5,0.24,0.14
baseline_full,0.7,2,632,271,ensemble,0.7904382470119521,0.5453138973078727,,,0.45,0.22,0.16
baseline_full,0.7,3,632,271,logreg,0.6655378486055777,0.3184378917082258,,,0.35,0.2,0.12
baseline_full,0.7,3,632,271,rf,0.7838645418326693,0.5759838989458317,,,0.5,0.28,0.14
baseline_full,0.7,3,632,271,xgb,0.7274900398406374,0.5399198121802137,,,0.5,0.24,0.13
baseline_full,0.7,3,632,271,ensemble,0.7796812749003984,0.5264383903706672,,,0.5,0.24,0.14
baseline_full,0.7,4,632,271,logreg,0.6856573705179283,0.2789110708147222,,,0.25,0.2,0.13
baseline_full,0.7,4,632,271,rf,0.7925298804780876,0.46784655814653264,,,0.45,0.26,0.15
baseline_full,0.7,4,632,271,xgb,0.7677290836653387,0.4696002650251939,,,0.45,0.24,0.12
baseline_full,0.7,4,632,271,ensemble,0.7585657370517928,0.4292321394940729,,,0.5,0.24,0.15
baseline_full,0.7,5,632,271,logreg,0.6940239043824701,0.3752177940207546,,,0.35,0.2,0.12
baseline_full,0.7,5,632,271,rf,0.803187250996016,0.5833382515147241,,,0.55,0.26,0.15
