feature_set,train_frac,model,n_splits,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,precision_at_20_mean,precision_at_20_std,precision_at_50_mean,precision_at_50_std,precision_at_100_mean,precision_at_100_std
baseline_full,0.7,ensemble,20,0.7989043824701195,0.04881556361728679,0.5298324204189718,0.07771920392415041,0.5050000000000001,0.06468547384317279,0.25599999999999995,0.038716241661879494,0.15450000000000003,0.013945382182304159
baseline_full,0.7,logreg,20,0.7411254980079681,0.061571153735498624,0.34534321763335707,0.08100808664772251,0.375,0.08506963092234009,0.21400000000000002,0.037332080179469186,0.1385,0.019269556026896006
baseline_full,0.7,rf,20,0.796469123505976,0.055703476634532165,0.5194300403749048,0.07537885383335469,0.4800000000000001,0.07677718959499145,0.25600000000000006,0.03470173664697187,0.14800000000000002,0.017044832524535806
baseline_full,0.7,xgb,20,0.7724003984063745,0.03776626744797835,0.5149890036579604,0.07056341258364207,0.47750000000000004,0.05954874164563806,0.24799999999999994,0.018806493839265095,0.14450000000000002,0.010990426455975694
baseline_full,0.8,ensemble,20,0.7941402908468777,0.06096749251698283,0.5567943830506359,0.09462563606892208,0.40499999999999997,0.07591546545162482,0.19900000000000004,0.026337885460422133,0.11499999999999999,0.010513149660756936
baseline_full,0.8,logreg,20,0.7477972626176219,0.055046037750273835,0.38270975093205045,0.08021464571665975,0.32999999999999996,0.06155870112510925,0.17600000000000002,0.021126187291456173,0.1105,0.01276302224561664
baseline_full,0.8,rf,20,0.8093135158254918,0.06257866061329838,0.557791897030502,0.08928623942774416,0.3975,0.0751752338837312,0.20200000000000004,0.025047323630532494,0.11849999999999998,0.012680278927697552
baseline_full,0.8,xgb,20,0.7716210436270317,0.06361475299358132,0.5092137679435759,0.10681844813383165,0.37000000000000005,0.07677718959499145,0.18800000000000003,0.023753116139062457,0.11299999999999999,0.013018205875255096
baseline_full,0.9,ensemble,20,0.7996598639455782,0.1161383037138593,0.5382894558674727,0.19212640142627788,0.2425,0.06340139463848773,0.11700000000000003,0.02364206776957237,0.07692307692307691,1.4238309865648918e-17
baseline_full,0.9,logreg,20,0.7680272108843537,0.1122617136336958,0.4188746955874347,0.15597161436473958,0.22000000000000003,0.06958523739384594,0.11300000000000003,0.02273416163537063,0.07692307692307691,1.4238309865648918e-17
baseline_full,0.9,rf,20,0.8314625850340136,0.09833055017119467,0.5550340422801673,0.19530531676370877,0.255,0.05104177855340404,0.12200000000000003,0.017044832524535813,0.07692307692307691,1.4238309865648918e-17
baseline_full,0.9,xgb,20,0.7779761904761904,0.09872503140007723,0.5019242486141604,0.1858940099823475,0.225,0.05256574830378467,0.11800000000000002,0.01823819012257983,0.07692307692307691,1.4238309865648918e-17
