feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
principled_expression_no_position,0.7,1,632,271,logreg,0.7396414342629483,0.2807243292164301,,,0.3,0.2,0.13
principled_expression_no_position,0.7,1,632,271,rf,0.7366533864541832,0.42618014625411954,,,0.55,0.26,0.13
principled_expression_no_position,0.7,1,632,271,xgb,0.7643426294820717,0.49872476118723247,,,0.45,0.22,0.13
principled_expression_no_position,0.7,1,632,271,ensemble,0.7884462151394422,0.47657023101363893,,,0.5,0.24,0.14
principled_expression_no_position,0.7,2,632,271,logreg,0.7623505976095618,0.3165611964473868,,,0.4,0.24,0.15
principled_expression_no_position,0.7,2,632,271,rf,0.7911354581673307,0.4095651280021233,,,0.45,0.2,0.15
principled_expression_no_position,0.7,2,632,271,xgb,0.7503984063745021,0.31268402549804386,,,0.4,0.22,0.13
principled_expression_no_position,0.7,2,632,271,ensemble,0.7860557768924303,0.4642254348660406,,,0.45,0.26,0.15
principled_expression_no_position,0.7,3,632,271,logreg,0.7460159362549801,0.3040851125094456,,,0.3,0.22,0.14
principled_expression_no_position,0.7,3,632,271,rf,0.7239043824701196,0.43863844743515135,,,0.5,0.22,0.14
principled_expression_no_position,0.7,3,632,271,xgb,0.800796812749004,0.5233814750231919,,,0.45,0.26,0.16
principled_expression_no_position,0.7,3,632,271,ensemble,0.7695219123505976,0.5291525682099023,,,0.55,0.24,0.15
principled_expression_no_position,0.7,4,632,271,logreg,0.6623505976095617,0.24034927543234003,,,0.25,0.2,0.13
principled_expression_no_position,0.7,4,632,271,rf,0.7420318725099602,0.31414936489961776,,,0.4,0.22,0.14
principled_expression_no_position,0.7,4,632,271,xgb,0.7635458167330678,0.38652747857904723,,,0.4,0.24,0.15
principled_expression_no_position,0.7,4,632,271,ensemble,0.7149402390438248,0.4088495224430311,,,0.45,0.22,0.14
principled_expression_no_position,0.7,5,632,271,logreg,0.7227091633466136,0.3759472136986414,,,0.35,0.22,0.14
principled_expression_no_position,0.7,5,632,271,rf,0.7523904382470119,0.410805871586349,,,0.45,0.22,0.14
principled_expression_no_position,0.7,5,632,271,xgb,0.7412350597609562,0.3928733922627127,,,0.4,0.22,0.13
principled_expression_no_position,0.7,5,632,271,ensemble,0.7296812749003985,0.49415428254417076,,,0.5,0.22,0.14
principled_expression_no_position,0.7,6,632,271,logreg,0.7745019920318724,0.3224364434647798,,,0.35,0.22,0.15
principled_expression_no_position,0.7,6,632,271,rf,0.8217131474103586,0.4533225721638263,,,0.5,0.26,0.15
principled_expression_no_position,0.7,6,632,271,xgb,0.7424302788844621,0.29164489021512746,,,0.4,0.22,0.15
principled_expression_no_position,0.7,6,632,271,ensemble,0.793426294820717,0.42118478175215485,,,0.5,0.28,0.15
principled_expression_no_position,0.7,7,632,271,logreg,0.7083665338645417,0.22885510130014125,,,0.2,0.18,0.12
principled_expression_no_position,0.7,7,632,271,rf,0.7724103585657371,0.41853822880295066,,,0.4,0.24,0.15
principled_expression_no_position,0.7,7,632,271,xgb,0.7673306772908366,0.44383170336207445,,,0.4,0.26,0.14
principled_expression_no_position,0.7,7,632,271,ensemble,0.7561752988047811,0.4572694176994576,,,0.4,0.26,0.15
principled_expression_no_position,0.7,8,632,271,logreg,0.7812749003984064,0.21957385214766145,,,0.2,0.22,0.15
principled_expression_no_position,0.7,8,632,271,rf,0.8111553784860558,0.49566006846557514,,,0.45,0.28,0.15
principled_expression_no_position,0.7,8,632,271,xgb,0.7918326693227091,0.4567940720287832,,,0.4,0.24,0.15
principled_expression_no_position,0.7,8,632,271,ensemble,0.8386454183266933,0.49579701409233007,,,0.45,0.28,0.17
principled_expression_no_position,0.7,9,632,271,logreg,0.7157370517928286,0.23321378199619647,,,0.35,0.2,0.14
principled_expression_no_position,0.7,9,632,271,rf,0.8050796812749004,0.4508022216775216,,,0.45,0.28,0.16
principled_expression_no_position,0.7,9,632,271,xgb,0.7326693227091633,0.3430441771145487,,,0.35,0.2,0.14
principled_expression_no_position,0.7,9,632,271,ensemble,0.7515936254980079,0.3949870500649394,,,0.45,0.2,0.16
