gene,gene_length,chromosome_region_start,chromosome_region_end,0_hour_time_point_unique_gene_reads,0_hour_total_gene_reads,0_hour_rpkm,6_hour_time_point_unique_gene_reads,6_hour_total_gene_reads,6_hour_rpkm,fold_change_in_rpkm_0_to_6_hours,12_hour_time_point_unique_gene_reads,12_hour_total_gene_reads,12_hour_rpkm,fold_change_in_rpkm_0_to_12_hours,21_hour_time_point_unique_gene_reads,21_hour_total_gene_reads,21_hour_rpkm,fold_change_in_rpkm_0_to_21_hours,divergent_promoter_distance,divergent_class,divergent_promoter_flag,label,FC_0_to_3_protein,FC_0_to_12_protein,FC_0_to_24_protein,go_id,GO:0071941,GO:0003824,GO:0016491,GO:0065003,GO:0016829,GO:0016787,GO:0140096,GO:0003677,GO:0016740,GO:0005975,GO:0006091,GO:0055086,GO:1901135,GO:0140110,GO:0005215,GO:0098772,GO:0140299,GO:0006310,GO:0006281,GO:0140097,GO:0005886,GO:0055085,GO:0140657,GO:0015979,GO:0140098,GO:0003723,GO:0016209,GO:0005840,GO:0043226,GO:0005198,GO:0098754,GO:0006629,GO:0006355,GO:0060089,GO:0006457,GO:0051604,GO:0007155,GO:0006520,GO:0003924,GO:0006790,GO:0009975,GO:0006260,GO:0016853,GO:0006766,GO:0016874,GO:0030163,GO:0016071,GO:0006399,GO:0071554,GO:0006486,GO:0006575,GO:0000910,GO:0022414,GO:0005694,GO:0007059,GO:0005811,GO:0005615,GO:0005576,GO:0005829,GO:0003774,GO:0090729,GO:0005773,GO:0098542,GO:0006351,GO:0042254,GO:0009579,GO:0008289,GO:0023052,GO:0060090,GO:0045735,GO:0140104,GO:0006886,old_locus_tag,locus_tag,protein_id,gene_symbol,product,diazo_mean_pident,diazo_hit_count,nondiazo_mean_pident,nondiazo_hit_count,diazo_minus_nondiazo_mean_pident,has_diazo_hit,has_nondiazo_hit,diazo_hit_frac,nondiazo_hit_frac
all0187,1612,200894,202506,309,309,11.18508944,240,241,9.463781685,-1.181883714,1838,1838,64.28996352,5.747827395,924,924,32.10721689,2.870537339,11,within500,1,FOX,1,1,1.56512323,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0187,PCC7120DELTA_RS02910,WP_010994364.1,PCC7120DELTA_RS02910,LCP family protein,58.662875,8,45.479,2,13.183875,1,1,1,1
all1338,1372,1588787,1590159,2493,2550,108.4506323,1018,1071,49.41377889,-2.19474476,4760,4934,202.7718874,1.869716045,3399,3518,143.6274506,1.32435789,10000,not registered,0,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1338,PCC7120DELTA_RS08515,WP_010995510.1,PCC7120DELTA_RS08515,hypothetical protein,97.872,1,,0,,1,0,0.125,0
all1437,1435,1695054,1696489,1,1,0.040662504,0,0,0,#NAME?,18,18,0.707266868,17.39358867,1542,1551,60.54184122,1488.886206,10000,not registered,0,FOX,1,0.650752987,1.889277498,GO:0009399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1437,PCC7120DELTA_RS09010,WP_010995609.1,nifN,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,69.570875,8,,0,,1,0,1,0
all1438,1543,1696388,1697931,3,3,0.113449177,3,3,0.123074488,1.084842495,52,53,1.936745936,17.07148517,3122,3131,113.6613656,1001.870344,10000,not registered,0,FOX,1,1,1,GO:0009399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1438,PCC7120DELTA_RS09015,WP_010995610.1,nifE,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,82.32625,8,,0,,1,0,1,0
all1440,1639,1698742,1700381,3,3,0.106804197,0,0,0,#NAME?,26,26,0.894452133,8.374690839,7086,7087,242.2028266,2267.727604,10000,not registered,0,FOX,1,1,2.582841026,GO:0009399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1440,PCC7120DELTA_RS09020,WP_010995612.1,nifK,nitrogenase molybdenum-iron protein subunit beta,75.342,8,,0,,1,0,1,0
all1455,988,1713395,1714383,15,15,0.88589109,12,12,0.76884184,-1.152240999,114,114,6.50594843,7.343959659,34204,34221,1940.132897,2190.035455,10000,not registered,0,FOX,1,1,1,GO:0009399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1455,PCC7120DELTA_RS09085,WP_010995626.1,nifH,nitrogenase iron protein,83.242,7,,0,,1,0,0.875,0
all1517,1528,1776669,1778197,2,2,0.076375253,6,6,0.248565359,3.254527484,39,39,1.439143043,18.84305439,2667,2667,97.76769798,1280.096554,10000,not registered,0,FOX,1,0.449111478,1,GO:0016829,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1517,PCC7120DELTA_RS09380,WP_010995686.1,nifB,nitrogenase cofactor biosynthesis protein NifB,81.6455,8,,0,,1,0,1,0
all1731,2377,2082220,2084597,214,214,5.253280746,121,121,3.222321706,-1.630278174,657,657,15.58471618,2.966663487,300,300,7.069485385,1.345727694,10000,not registered,0,FOX,1,1,1,GO:0004722,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1731,PCC7120DELTA_RS10460,WP_010995899.1,PCC7120DELTA_RS10460,PP2C family serine/threonine-protein phosphatase,58.20133333,6,43.258,1,14.94333333,1,1,0.75,0.5
all1939,1639,2322702,2324341,83,85,3.026118925,110,112,4.32565399,1.429439522,352,355,12.21271182,4.035767305,264,268,9.159074013,3.026673518,10000,not registered,0,FOX,1,1,1.577960515,GO:0003824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1939,PCC7120DELTA_RS11480,WP_231865521.1,PCC7120DELTA_RS11480,M16 family metallopeptidase,70.100125,8,57.0885,2,13.011625,1,1,1,1
all2512,1690,3017834,3019524,3,3,0.103581112,4,4,0.149825589,1.44645666,31,31,1.034278981,9.985208308,184,184,6.098553617,58.87708187,10000,not registered,0,FOX,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all2512,PCC7120DELTA_RS14395,WP_010996668.1,PCC7120DELTA_RS14395,helix-turn-helix domain-containing protein,69.866625,8,,0,,1,0,1,0
